episode	speaker	utterances
s07e22	ross	47
s07e22	monica	37
s07e22	joey	36
s07e22	chandler	33
s07e22	phoebe	31
s07e22	helena	18
s07e22	jake	2
s07e22	gunther	1
s07e23	ross	88
s07e23	rachel	82
s07e23	joey	80
s07e23	monica	69
s07e23	chandler	66
s07e23	phoebe	65
s07e23	richard	34
s07e23	mr. geller	13
s07e23	mrs. geller	10
s07e23	mrs. bing	8
s07e23	mr. bing	7
s07e23	gunther	3
